model_name,ssb,rec_actual
steepness-0.6,24061.7,5279.67
steepness-0.6,24543,5309.42
steepness-0.6,25024.2,5338.34
steepness-0.6,25505.4,5366.46
steepness-0.6,25986.7,5393.83
steepness-0.6,26467.9,5420.46
steepness-0.6,26949.1,5446.4
steepness-0.6,27430.4,5471.66
steepness-0.6,27911.6,5496.27
steepness-0.6,28392.8,5520.26
steepness-0.6,28874.1,5543.66
steepness-0.6,29355.3,5566.47
steepness-0.6,29836.5,5588.73
steepness-0.6,30317.8,5610.45
steepness-0.6,30799,5631.65
steepness-0.6,31280.2,5652.35
steepness-0.6,31761.5,5672.58
steepness-0.6,32242.7,5692.34
steepness-0.6,32723.9,5711.64
steepness-0.6,33205.2,5730.52
steepness-0.6,33686.4,5748.97
steepness-0.6,34167.7,5767.02
steepness-0.6,34648.9,5784.68
steepness-0.6,35130.1,5801.96
steepness-0.6,35611.4,5818.87
steepness-0.6,36092.6,5835.43
steepness-0.6,36573.8,5851.63
steepness-0.6,37055.1,5867.51
steepness-0.6,37536.3,5883.06
steepness-0.6,38017.5,5898.3
steepness-0.6,38498.8,5913.23
steepness-0.6,38980,5927.87
steepness-0.6,39461.2,5942.22
steepness-0.6,39942.5,5956.29
steepness-0.6,40423.7,5970.09
steepness-0.6,40904.9,5983.63
steepness-0.6,41386.2,5996.91
steepness-0.6,41867.4,6009.94
steepness-0.6,42348.6,6022.73
steepness-0.6,42829.9,6035.29
steepness-0.6,43311.1,6047.62
steepness-0.6,43792.3,6059.73
steepness-0.6,44273.6,6071.62
steepness-0.6,44754.8,6083.3
steepness-0.6,45236,6094.78
steepness-0.6,45717.3,6106.05
steepness-0.6,46198.5,6117.13
steepness-0.6,46679.7,6128.03
steepness-0.6,47161,6138.73
steepness-0.6,47642.2,6149.26
steepness-0.6,48123.5,6159.61
steepness-0.6,48604.7,6169.8
steepness-0.6,49085.9,6179.81
steepness-0.6,49567.2,6189.66
steepness-0.6,50048.4,6199.35
steepness-0.6,50529.6,6208.89
steepness-0.6,51010.9,6218.28
steepness-0.6,51492.1,6227.52
steepness-0.6,51973.3,6236.61
steepness-0.6,52454.6,6245.56
steepness-0.6,52935.8,6254.38
steepness-0.6,53417,6263.06
steepness-0.6,53898.3,6271.61
steepness-0.6,54379.5,6280.03
steepness-0.6,54860.7,6288.32
steepness-0.6,55342,6296.49
steepness-0.6,55823.2,6304.55
steepness-0.6,56304.4,6312.48
steepness-0.6,56785.7,6320.3
steepness-0.6,57266.9,6328.01
steepness-0.6,57748.1,6335.6
steepness-0.7,476.173,525.195
steepness-0.7,952.346,975.26
steepness-0.7,1428.52,1365.32
steepness-0.7,1904.69,1706.62
steepness-0.7,2380.87,2007.77
steepness-0.7,2857.04,2275.45
steepness-0.7,3333.21,2514.97
steepness-0.7,3809.38,2730.53
steepness-0.7,4285.56,2925.56
steepness-0.7,4761.73,3102.86
steepness-0.7,5237.9,3264.74
steepness-0.7,5714.08,3413.13
steepness-0.7,6190.25,3549.65
steepness-0.7,6666.42,3675.67
steepness-0.7,7142.6,3792.36
steepness-0.7,7618.77,3900.71
steepness-0.7,8094.94,4001.59
steepness-0.7,8571.11,4095.74
steepness-0.7,9047.29,4183.82
steepness-0.7,9523.46,4266.4
steepness-0.7,9999.63,4343.96
steepness-0.7,10475.8,4416.97
steepness-0.7,10952,4485.81
steepness-0.7,11428.2,4550.82
steepness-0.7,11904.3,4612.31
steepness-0.7,12380.5,4670.57
steepness-0.7,12856.7,4725.85
steepness-0.7,13332.8,4778.35
steepness-0.7,13809,4828.3
steepness-0.7,14285.2,4875.87
steepness-0.7,14761.4,4921.23
steepness-0.7,15237.5,4964.52
steepness-0.7,15713.7,5005.89
steepness-0.7,16189.9,5045.46
steepness-0.7,16666.1,5083.35
steepness-0.7,17142.2,5119.66
steepness-0.7,17618.4,5154.49
steepness-0.7,18094.6,5187.92
steepness-0.7,18570.7,5220.05
steepness-0.7,19046.9,5250.93
steepness-0.7,19523.1,5280.66
steepness-0.7,19999.3,5309.28
steepness-0.7,20475.4,5336.86
steepness-0.7,20951.6,5363.45
steepness-0.7,21427.8,5389.11
steepness-0.7,21904,5413.89
steepness-0.7,22380.1,5437.83
steepness-0.7,22856.3,5460.97
steepness-0.7,23332.5,5483.35
steepness-0.7,23808.7,5505.01
steepness-0.7,24284.8,5525.98
steepness-0.7,24761,5546.3
steepness-0.7,25237.2,5565.99
steepness-0.7,25713.3,5585.08
steepness-0.7,26189.5,5603.61
steepness-0.7,26665.7,5621.58
steepness-0.7,27141.9,5639.04
steepness-0.7,27618,5656
steepness-0.7,28094.2,5672.48
steepness-0.7,28570.4,5688.51
steepness-0.7,29046.6,5704.09
steepness-0.7,29522.7,5719.26
steepness-0.7,29998.9,5734.02
steepness-0.7,30475.1,5748.39
steepness-0.7,30951.2,5762.38
steepness-0.7,31427.4,5776.02
steepness-0.7,31903.6,5789.32
steepness-0.7,32379.8,5802.28
steepness-0.7,32855.9,5814.92
steepness-0.7,33332.1,5827.25
steepness-0.7,33808.3,5839.29
steepness-0.7,34284.5,5851.04
steepness-0.7,34760.6,5862.51
steepness-0.7,35236.8,5873.71
steepness-0.7,35713,5884.66
steepness-0.7,36189.1,5895.36
steepness-0.7,36665.3,5905.82
steepness-0.7,37141.5,5916.05
steepness-0.7,37617.7,5926.05
steepness-0.7,38093.8,5935.83
steepness-0.7,38570,5945.41
steepness-0.7,39046.2,5954.78
steepness-0.7,39522.4,5963.95
steepness-0.7,39998.5,5972.93
steepness-0.7,40474.7,5981.73
steepness-0.7,40950.9,5990.35
steepness-0.7,41427.1,5998.79
steepness-0.7,41903.2,6007.06
steepness-0.7,42379.4,6015.17
steepness-0.7,42855.6,6023.12
steepness-0.7,43331.7,6030.92
steepness-0.7,43807.9,6038.57
steepness-0.7,44284.1,6046.07
steepness-0.7,44760.3,6053.43
steepness-0.7,45236.4,6060.65
steepness-0.7,45712.6,6067.74
steepness-0.7,46188.8,6074.7
steepness-0.7,46665,6081.53
steepness-0.7,47141.1,6088.24
steepness-0.7,47617.3,6094.83
steepness-0.7,48093.5,6101.3
steepness-0.7,48569.6,6107.66
steepness-0.7,49045.8,6113.91
steepness-0.7,49522,6120.05
steepness-0.7,49998.2,6126.08
steepness-0.7,50474.3,6132.02
steepness-0.7,50950.5,6137.85
steepness-0.7,51426.7,6143.59
steepness-0.7,51902.9,6149.23
steepness-0.7,52379,6154.78
steepness-0.7,52855.2,6160.24
steepness-0.7,53331.4,6165.61
steepness-0.7,53807.6,6170.89
steepness-0.7,54283.7,6176.09
steepness-0.7,54759.9,6181.21
steepness-0.7,55236.1,6186.25
steepness-0.7,55712.2,6191.21
steepness-0.7,56188.4,6196.1
steepness-0.7,56664.6,6200.91
steepness-0.7,57140.8,6205.64
test-new-version,476.173,525.195
test-new-version,952.346,975.26
test-new-version,1428.52,1365.32
test-new-version,1904.69,1706.62
test-new-version,2380.87,2007.77
test-new-version,2857.04,2275.45
test-new-version,3333.21,2514.97
test-new-version,3809.38,2730.53
test-new-version,4285.56,2925.56
test-new-version,4761.73,3102.86
test-new-version,5237.9,3264.74
test-new-version,5714.08,3413.13
test-new-version,6190.25,3549.65
test-new-version,6666.42,3675.67
test-new-version,7142.6,3792.36
test-new-version,7618.77,3900.71
test-new-version,8094.94,4001.59
test-new-version,8571.11,4095.74
test-new-version,9047.29,4183.82
test-new-version,9523.46,4266.4
test-new-version,9999.63,4343.96
test-new-version,10475.8,4416.97
test-new-version,10952,4485.81
test-new-version,11428.2,4550.82
test-new-version,11904.3,4612.31
test-new-version,12380.5,4670.57
test-new-version,12856.7,4725.85
test-new-version,13332.8,4778.35
test-new-version,13809,4828.3
test-new-version,14285.2,4875.87
test-new-version,14761.4,4921.23
test-new-version,15237.5,4964.52
test-new-version,15713.7,5005.89
test-new-version,16189.9,5045.46
test-new-version,16666.1,5083.35
test-new-version,17142.2,5119.66
test-new-version,17618.4,5154.49
test-new-version,18094.6,5187.92
test-new-version,18570.7,5220.05
test-new-version,19046.9,5250.93
test-new-version,19523.1,5280.66
test-new-version,19999.3,5309.28
test-new-version,20475.4,5336.86
test-new-version,20951.6,5363.45
test-new-version,21427.8,5389.11
test-new-version,21904,5413.89
test-new-version,22380.1,5437.83
test-new-version,22856.3,5460.97
test-new-version,23332.5,5483.35
test-new-version,23808.7,5505.01
test-new-version,24284.8,5525.98
test-new-version,24761,5546.3
test-new-version,25237.2,5565.99
test-new-version,25713.3,5585.08
test-new-version,26189.5,5603.61
test-new-version,26665.7,5621.58
test-new-version,27141.9,5639.04
test-new-version,27618,5656
test-new-version,28094.2,5672.48
test-new-version,28570.4,5688.51
test-new-version,29046.6,5704.09
test-new-version,29522.7,5719.26
test-new-version,29998.9,5734.02
test-new-version,30475.1,5748.39
test-new-version,30951.2,5762.38
test-new-version,31427.4,5776.02
test-new-version,31903.6,5789.32
test-new-version,32379.8,5802.28
test-new-version,32855.9,5814.92
test-new-version,33332.1,5827.25
test-new-version,33808.3,5839.29
test-new-version,34284.5,5851.04
test-new-version,34760.6,5862.51
test-new-version,35236.8,5873.71
test-new-version,35713,5884.66
test-new-version,36189.1,5895.36
test-new-version,36665.3,5905.82
test-new-version,37141.5,5916.05
test-new-version,37617.7,5926.05
test-new-version,38093.8,5935.83
test-new-version,38570,5945.41
test-new-version,39046.2,5954.78
test-new-version,39522.4,5963.95
test-new-version,39998.5,5972.93
test-new-version,40474.7,5981.73
test-new-version,40950.9,5990.35
test-new-version,41427.1,5998.79
test-new-version,41903.2,6007.06
test-new-version,42379.4,6015.17
test-new-version,42855.6,6023.12
test-new-version,43331.7,6030.92
test-new-version,43807.9,6038.57
test-new-version,44284.1,6046.07
test-new-version,44760.3,6053.43
test-new-version,45236.4,6060.65
test-new-version,45712.6,6067.74
test-new-version,46188.8,6074.7
test-new-version,46665,6081.53
test-new-version,47141.1,6088.24
test-new-version,47617.3,6094.83
test-new-version,48093.5,6101.3
test-new-version,48569.6,6107.66
test-new-version,49045.8,6113.91
test-new-version,49522,6120.05
test-new-version,49998.2,6126.08
test-new-version,50474.3,6132.02
test-new-version,50950.5,6137.85
test-new-version,51426.7,6143.59
test-new-version,51902.9,6149.23
test-new-version,52379,6154.78
test-new-version,52855.2,6160.24
test-new-version,53331.4,6165.61
test-new-version,53807.6,6170.89
test-new-version,54283.7,6176.09
test-new-version,54759.9,6181.21
test-new-version,55236.1,6186.25
test-new-version,55712.2,6191.21
test-new-version,56188.4,6196.1
test-new-version,56664.6,6200.91
test-new-version,57140.8,6205.64
